"","playerID","yearID","stint","teamID","lgID","G","AB","R","H","2B","3B","HR","RBI","SB","CS","BB","SO","IBB","HBP","SH","SF","GIDP"
"261","figueed01",1980,1,"NYA","AL",15,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"262","figueed01",1980,2,"TEX","AL",8,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"263","figueje01",1980,1,"CHN","NL",115,198,20,50,5,0,1,11,2,1,14,16,"0","2","2","0","3"
"264","fingero01",1980,1,"SDN","NL",66,18,0,5,3,0,0,0,0,0,0,5,"0","0","1","0","1"
"265","fischmi01",1980,1,"HOU","NL",1,1,0,0,0,0,0,0,0,0,0,1,"0","0","0","0","0"
"266","fiskca01",1980,1,"BOS","AL",131,478,73,138,25,3,18,62,11,5,36,62,"6","13","0","3","12"
"267","flanami01",1980,1,"BAL","AL",40,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"268","flannti01",1980,1,"SDN","NL",95,292,15,70,12,0,0,25,2,2,18,30,"4","0","4","1","5"
"269","flinnjo01",1980,1,"ML4","AL",20,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"270","flynndo01",1980,1,"NYN","NL",128,443,46,113,9,8,0,24,2,2,22,20,"14","0","6","3","15"
"271","foleyma01",1980,1,"CHA","AL",68,137,14,29,5,0,4,15,0,0,9,22,"3","2","1","4","0"
"272","foliti01",1980,1,"PIT","NL",127,495,61,131,22,0,3,38,11,7,19,23,"1","6","13","7","5"
"273","footeba01",1980,1,"CHN","NL",63,202,16,48,13,1,6,28,1,1,13,18,"2","0","0","1","7"
"274","fordda01",1980,1,"CAL","AL",65,226,22,63,11,0,7,26,0,1,19,45,"1","2","1","1","15"
"275","fordda02",1980,1,"BAL","AL",25,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"276","forscbo01",1980,1,"SLN","NL",32,78,11,23,5,0,3,10,1,0,2,18,"0","0","9","0","1"
"277","forscke01",1980,1,"HOU","NL",32,77,3,18,3,0,0,8,1,0,1,33,"0","0","6","0","0"
"278","forstte01",1980,1,"LAN","NL",9,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"279","fostege01",1980,1,"CIN","NL",144,528,79,144,21,5,25,93,1,0,75,99,"14","1","0","4","14"
"280","frazige01",1980,1,"SLN","NL",22,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"281","friaspe01",1980,1,"TEX","AL",116,227,27,55,5,1,0,10,5,1,4,23,"0","1","12","2","8"
"282","friaspe01",1980,2,"LAN","NL",14,9,1,2,1,0,0,0,0,0,0,0,"0","0","0","0","1"
"283","frostda01",1980,1,"CAL","AL",15,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"284","frymawo01",1980,1,"MON","NL",61,12,0,2,0,0,0,2,0,0,0,4,"0","0","2","0","0"
"285","fulghjo01",1980,1,"SLN","NL",16,27,1,0,0,0,0,0,0,0,0,17,"0","0","3","0","0"
"286","galeri01",1980,1,"KCA","AL",32,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"287","gamblos01",1980,1,"NYA","AL",78,194,40,54,10,2,14,50,2,0,28,21,"4","4","0","3","2"
"288","gantnji01",1980,1,"ML4","AL",132,415,47,117,21,3,4,40,11,10,30,29,"5","1","8","3","8"
"289","garbege01",1980,1,"ATL","NL",68,2,0,1,0,0,0,1,0,0,0,1,"0","0","0","0","0"
"290","garcida01",1980,1,"TOR","AL",140,543,50,151,30,7,4,46,13,13,12,55,"2","3","4","3","14"
"291","garciki01",1980,1,"BAL","AL",111,311,27,62,8,0,1,27,8,4,24,57,"0","0","3","2","11"
"292","garlawa01",1980,1,"CLE","AL",25,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"293","garneph01",1980,1,"PIT","NL",151,548,62,142,27,6,5,58,32,7,46,53,"12","2","7","7","12"
"294","garrra01",1980,1,"CAL","AL",21,42,5,8,1,0,0,3,0,0,4,6,"2","0","0","0","0"
"295","garvest01",1980,1,"LAN","NL",163,658,78,200,27,1,26,106,6,11,36,67,"6","3","3","4","17"
"296","garvije01",1980,1,"TOR","AL",61,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"297","gedmari01",1980,1,"BOS","AL",9,24,2,5,0,0,0,1,0,0,0,5,"0","0","0","0","1"
"298","geronce01",1980,1,"CIN","NL",103,145,16,37,5,0,2,9,2,1,14,24,"3","0","2","1","2"
"299","gibsoki01",1980,1,"DET","AL",51,175,23,46,2,1,9,16,4,7,10,45,"0","1","1","2","0"
"300","gleatje01",1980,1,"TEX","AL",5,0,0,0,0,0,0,0,0,0,0,0,"0","0","0","0","0"
"301","glynned01",1980,1,"NYN","NL",38,6,0,0,0,0,0,0,0,0,0,2,"0","0","2","0","0"
"302","goltzda01",1980,1,"LAN","NL",35,47,1,6,0,0,0,4,0,0,7,23,"0","0","7","0","0"
